Node,PageRank
7237,0.007402252556857881
7498,0.006691202515011874
7339,0.006377762845352468
7162,0.0031767569339574593
7224,0.0029302963203570952
7435,0.002750701330228721
6519,0.0027171361605782102
7100,0.0025939892857066867
7595,0.002575726801676199
7199,0.002575281129187989
4811,0.0024343041872750726
6101,0.0023085323564403337
7536,0.002238758251594308
4785,0.0022117014168385888
7489,0.0019699795701771067
7587,0.001849670865613301
7488,0.0018347441540418777
6617,0.0017652065393296442
7226,0.0017385075407141284
7416,0.0017249734913823893
6446,0.0016975124913378836
7564,0.0016877697368135362
7352,0.0016645963384011985
7552,0.0016629744654896024
6891,0.0016318779323326047
7579,0.001631530799549468
7141,0.0016269062993903845
7621,0.0015985927264035994
7490,0.0015729491725816511
6562,0.0015332261641187554
7334,0.0015184014535929134
7604,0.0015070317687812852
6887,0.0014858992794385736
7565,0.0014810863157514534
5274,0.0014770073220826498
7533,0.0014634036472844056
7284,0.001424076412941554
7289,0.001365912711145675
7600,0.0013644022994047619
7548,0.0013259286368196305
7398,0.0012406109023251812
7086,0.0012266359720025512
6241,0.001223199968631562
5127,0.0011945815932584932
7581,0.0011848879340129435
6888,0.0011745320639052915
7349,0.0011625711205086214
7308,0.001159713261241582
7248,0.0011576041329241333
6544,0.0011537693846215384
5578,0.0011510657092605977
7350,0.0011336691187571158
7256,0.0011332502356416845
7374,0.001119122377303862
5454,0.0011182621083702703
7123,0.0011101156169234115
7602,0.0011010165145143103
7225,0.0010984776137623734
6339,0.0010811355711517793
5854,0.0010483673897159205
7575,0.0010352887237946864
7028,0.0010169687742631601
6323,0.0009863084660732971
6712,0.0009862673341241854
7001,0.0009843592807821182
6633,0.0009659298066762339
6529,0.0009604617436693409
6789,0.0009526120838925935
7009,0.000952529892735964
6919,0.0009493387639274246
5646,0.000947732344049973
6797,0.0009374598917623814
7228,0.000927159699105205
7607,0.0009259062476623151
6911,0.0009223247781696305
3530,0.0009181326002404688
7580,0.0009164803634699839
5370,0.000911264610726982
7601,0.0009096336108287878
7460,0.0008829036654971294
6621,0.000877843022943762
6991,0.0008778024449357379
7075,0.0008756545308979179
6724,0.0008697501437431793
7071,0.0008620918205160435
7158,0.0008604655611290915
6870,0.0008519106491320451
2854,0.0008491364481221933
7547,0.000846632313278905
7623,0.0008247014745032292
7554,0.0008165204922429693
7220,0.0008107039216528186
6564,0.0008084312293171745
6478,0.0007947257053234935
7079,0.0007920724852972797
5857,0.0007836411012034473
7563,0.0007803290394856697
6378,0.0007801010717032578
5610,0.0007800427435010463
7172,0.0007731230103410616
6419,0.0007720819547864903
6955,0.0007628921739428009
7519,0.0007628262224413505
7080,0.0007597072768897361
7353,0.0007581401940389573
6547,0.0007570991211396542
